	标点
耸立	站立
人体工程学	知识 人
入夏	起始 时间 夏
阴道	部件 脏 部件 脏 动物 女 排泄 生殖
保安族	族群 中国
侍立	站立 照料
开灯	启动 用具 照射
随想曲	音乐
虚掷光阴	浪费 时间
重犯	违背 再
重犯	人 有罪 重要
银鲳	鱼
铬明矾	化学物
弯子	部件 弯 水域
弯子	地方 弯
冰冷	冷
冰冷	冷漠
虎虎生气	神气
了局	完毕
低频	偶尔
糠皮	部件 皮 部件 胚 庄稼
红麻	庄稼 材料
宾厄姆顿	地方 市 美国 专
2月份	时间 月 特定
皈依	遵循 宗教
租佃	借出
块根	部件 根 植物
藏青	蓝 浓
不可抵抗	不会 反抗
一时半刻	时间 短时间
空对舰导弹	武器 军 发射 武器 军 船 空域
游泳者	人 游
写完	实现 编辑
控诉	控告 警
掰开	破开
满怀激情	好情
试种	栽植 农 尝试
烈士	人 荣 死
主裁判	人 职位 体育 裁定 比赛
悲苦	情感 悲哀
天下靡然从之	享受 拥护 泛
病包儿	人 医 罹患 医治
傈僳	族群 中国
邮亭	设施 邮寄
耗费	损耗
威权	势力 人 信息 组织
有机金属化合物	化学物
波哥大	地方 国都 哥伦比亚 专
硐	部件 口 陆地 凸
相知恨晚	懊悔 交往 迟
稻穗	部件 毛 庄稼
脏口	不道德 表演
质变	事情 变 部件 心 实体
利物浦	地方 市 英国 专
零杂	事务 杂 不重要
零杂	无生物 不重要
檀香木	木
愁闷	忧愁
繁重	费力
天年	年龄 生物
亍	文字 中国
娱乐性竞赛	事情 比赛 娱乐
值日生	人 从事 承担 学习 场所 教育 学习 教
提意见	提出 念头 认为
野战医院	场所 医 军 医治 疾病
会务	事务
若虫	虫
研磨料	材料 摩擦
污水沟	水域 线 排出 水 龊
发出信号	发送 信息
异议	念头 反对 异
降低	减少
降低	降低
降低	贬低
降低	削减
闻风而动	快干
生机盎然	健壮
冒犯	得罪
拉开	打开
拉开	分离
雄鸡	禽 家养 男
栗子	水果
安替比林	药物
不见棺材不流泪	不愿 相信 倔强
砍倒	折断
胞叔	人 家庭 旁系 男 长辈
惩戒	处罚
合卺	结婚 人 家庭 女 配偶 人 家庭 男 配偶
不能适应	不会 适合
价格改革	事情 改良 制度 价格 商业
幽雅	雅
腩	食品 部件 肉 牲畜
流亡	流放
流亡	逃跑
运价指数	符号 价格 商业 物质 指代 变
后挡板	部件 部件 尾 车 车 自动 照射
二等秘书	人 职位 外交 政 官
瞬息万变	易变
多色	彩
代言人	人 说
前列腺切除术	事情 医治 医
碧草如茵	花草 绿
不足挂齿	无价值
沙门氏菌	微生物 医 能 导致 疾病
打走	驱赶
死规矩	恒定
输电线	材料 线 传送 电
查证	查 证明
捷运	设施 运送
沸扬	激动
口腔卫生	洁净 部件 口 部件 脏 动物 发声 吃
师出有名	差遣 正义 军 军队
观风	防守 看
跳跃	跳
巴比伦	地方 专 过去
荒山秃岭	陆地 荒 凸
西	来源值 欧洲
西	位置 西
西	地方 国家 欧洲 政 专
庙	设施 宗教
散	散开
散	药物
散	撒
散	散
鸭嘴笔	用具 画 写
垦殖	从事 农
时候	时间
时候	时间 重要
供称	承认
逵	道路 重要
奏乐	表演 音乐
柔肠寸断	悲哀
资本主义	制度
分袂	离别
注重	注意
相互作用	影响 相互
交响乐	音乐
副官	人 职位 官 次
兵营	设施 军 住下
勘误表	文书 内容 改正
低头不见抬头见	会面 经常
弱势	有弊
盲文	文字 看 人 残疾 部件 眼 人 看
细加叩询	问 细心
港口城市	地方 市
人工	人为
午觉	事情 睡
顶部	部件 头 实体
村俗	习惯 地方 乡 群体 人
普通名词	部件 语言
总局	机构 总
滴定法	方法 测量
无谓	莽
草体	样式 文字
军费	费用 军
泛黄	成为 黄
大二	等级 部件 场所 教育 高等 学习 教
奋然	强
布什	人 美国 政 元首 专
球墨铸铁	金属 材料
大帐篷	用具 遮盖
省得	躲避
不予	拒做
淞	水域 中国 专 线
淋雨	遭受 加湿 雨雪
正反	反面 正面
前景	前景 事件 万物
前景	景象 无生物
丰富性	多少 实体 多
断弦	失去 人 家庭 女 配偶
把细	细心
血污	痕 留存 部件 体液 红 动物
怠工	偷懒
冲天	高
绷簧	部件 器具
彩色扩印	扩大 图像 彩 拍摄
化解	消除
活词典	人 知道 词语 泛
乏货	人 庸
胡罗卜加大棒	方法 暴 柔
惶惧	害怕
抗压强度	强度 物质 抗住 按压
搭背	放置 部件 臂 人 部件 臂 人
害	弊 状况 实体 事件
害	罹患
害	损害
害	有弊
害	杀害 有罪
害	劫难
惊人之笔	词语 非常好
高速度	快
重武器	武器 军
啤酒厂	场所 工 制造 饮品
潜移默化	影响 婉
精光	全 剩余 否
精光	光
涮羊肉	烹调
涮羊肉	食品
涮羊肉	食品 烹调
纳罕	惊奇
夺过	抢
支起来	支撑
嫌疑人	人 经受 怀疑 从事 事情 有罪
不甚了了	知道 否
口腔疱疹病毒	微生物 医 能 导致 疾病
中国共产主义青年团	团体 中国 政 专 人 青年
姜黄	花草
岂非	功能词
粉芡	材料 调整 味道
桅	部件 船
要命	乞求 现象 活着 生命 生物 群体
要命	极
要命	事情 能 促使 烦恼
要命	杀害
实验心理学	知识 精神
征求意见稿	语文 非正式
琥珀香芹炒藕粒	食品 烹调
田舍	房屋 农
蝻子	虫
无关大局	不重要
假话	语文 欺骗
女	女
女	与女性相关
女	人 家庭 女 小辈 直系
女	人 女
函授大学	场所 教育 学习 传送 信件 教 传送 信件
工业界	团体 工
鸟瞰	调查
鸟瞰	看 空域 下
进行性	特性值 继续 进展
公费吃喝	吃 费用 共
小剂量	多少 医 药物 少 吃 利用
病倒	病态
串联	交往 政 渐进
串联	连接
热血青年	人 正义 青年
负重致远	承担 责任 费力
滑头	人 狡
滑头	狡
豪语	词语 勇
视同儿戏	轻视
主治	性能 药物
这一下	功能词
教程	知识 教育 学习 教
峥嵘	不凡
峥嵘	高
峥嵘	清晰
高个子	人 身高
二级	主
初会	会面 首次
不明智	智 否
挂上	悬挂
有渗透性	能 吸收 液
方山	地方 县 中国 专
宾客	人 看望
溢洪闸	设施 控制 水
预防胜于治疗	强过 医治 阻止 疾病
暮霭	云雾 时间 夜
使坏	捣乱
街上	位置 道路
天象	天象
炼油	制造 材料
悲观失望	失望
卒中	疾病
蛏田	设施 饲养 鱼
不足以	功能词
驱逐机	武器 军 飞行器
喉头	部件 部件 口 动物
哀凄	悲哀
时装业	事务 制造 衣物 时髦 工
履	衣物 穿戴 部件 脚 人
履	实施
履	走
指挥	人 职位 艺 表演 音乐
指挥	人 命令
指挥	命令
指挥	表演 音乐 艺
现实主义者	人 相信
元件	部件 器具
与众不同	不凡
远道	远
远道	道路 远
经常做礼拜的人	人 宗教 从事 事情 宗教 定期
荒诞不经	误
船舶驾驶术	知识 方法 驾驭 船
浓眉大眼	部件 毛 密 人
闪熠	照射
与日俱增	增多 渐进 时间 日
赙仪	物质 赠
辩解	反驳
蚝油扒时蔬	食品 烹调
久暂	久暂 事件
学术休假	时间 事情 研究 知识 消闲 休息
序号	编号 物质 指代 次序
板结	变性态 硬
有人居住	密 人
大红大绿	绿 浓 红 浓
减号	符号 数学 算术
汽车制造商	场所 工 制造 车 自动
担心	着急
满腹牢骚	示不满 强
警务	事务 警
莪蒿	花草
肇事	创造 劫难
双稳态	恒定
恒河沙数	多
蜚	虫
蜚	消失
蜚	快
蜚	飞
蜚	骤然
中国人民大学	场所 中国 教育 高等 专 学习 教
过滤	滤清
分掉	分发 达成
迅雷不及掩耳	骤然
俗称	功能词
俗称	称作
裂化	事情 制造 材料 液态 焚烧 化学
骗赔	骗 有罪 钱财 保险 补偿
防风障	树 众 保护
哑巴吃黄连，有苦说不出	遭受 慢待 无声
电子手表	用具 告诉 时间
月底	时间 末 月
作为消遣	趣
迷恋	喜欢 不讲理
故事片	表演物
马来语	语言 马来西亚 专
行乐	寻欢
少东家	人 家庭 男 人 有
三色堇	花草
蓖麻油酸	化学物
国家历史公园	设施 旅游 消闲
横断研究	事情 研究 知识
苦竹	树
不够格	不合格
无辜	无罪
无辜	人 无罪
约定	约定
啜	喝
啜	哭泣
雨痕	痕 雨雪
退守	后退 军 防守 军
难以达到	难 到达
朔望	时间 日
警察局	机构 警
竹篮打水一场空	失败
拆散	分离
蓄养	聚集
中音	音量 声 高声
蓬乱	不雅
酮尿症	疾病
通史	事情 过去
冷酷的现实	公正性 内容 暴
训诂学	知识 语言
横眉立目	看 生气 很
产后	时间 生殖
点钞	查 货币
去向	方向
积	长时间
积	采集
积	结果 数学 算术
猥陋	卑劣
事在人为	缘于 力量 群体 人 成功
裂变	变
金领	人 职位 高等 雇用
猜疑	怀疑
定址	决定 位置
定址	位置 恒定 交往 群体 人
轮回	循环
轮回	循环 宗教
百万富翁	人 富
耕畜	牲畜 栽植
长须鲸	走兽 游
漏刻	用具 告诉 时间
柩	用具 保存 部件 身 人 死
包票	票据 保证 保险
肃立	站立 庄
基础教育	事务 学习 教 教育 初等
构词	形成 词语
声息	信息
声息	声
捆	名量 无生物
捆	拴连
捆	物形
捆	包扎
缣	材料 衣物 用具
雄猫	牲畜 家养
Ｘ光线照相	事情 诊察 医
化悲痛为力量	改变 力量 悲哀
碲	化学物
喜气洋洋	喜悦
奖状	文书 证明 奖励
报复心	情感 报复
企足而待	期望
不翼而飞	消失
不翼而飞	传播 快
冬菇	低植 吃
赔本	亏损 金融 资金
冬青	树
波状蠕动	爬 部件 脏 部件 脏 动物 消化
否则	功能词
求战	要求 从事 军
汞合金	金属 材料
股匪	团体 有罪 抢
决不	功能词 否
大为激动	激动
代沟	异同 人 老年 人 青年 思想
滨水区	陆地 靠近 水域
白刃	武器 军 扎
监测器	用具 监察
金针排骨汤	食品 液态 烹调
均沾	经受 共同
戏院	场所 艺 表演
林县	地方 县 中国 专
地面观察站	设施 军 看
汉人	人 族群 中国
汉人	族群 中国
汉人	族群 中国 众
丈母娘	人 家庭 旁系 女 长辈
正大光明	诚实
维和部队	军队 保持 境况 组织 宁
女孩子家	人 少儿 女
乡村小豆腐	食品 烹调
夜餐	食物 吃 时间 夜
若干	功能词 疑问
若干	些
证券市场	场所 证券 买 票证 卖 票证
蹓达	走 闲
舞男	人 男 交往 浮 人 女
虚名	名声 群体 人 伪
疑神疑鬼	怀疑
通好	交往
妙趣横生	趣
蒸馏罐	用具 纯化
奉达	告诉
机票	票证 搭乘 飞行器
袈	文字 中国
提行	写
天秤座	类型值 问世 人
海蛇	走兽
鸡蛋壳	部件 皮 部件 胚 禽 家养
草野小民	人 普通 众
秤锤	部件 用具 测量 重量
势态	境况 事件 万物
农业部长	人 职位 官 管理 事务 农
领扣	配件 衣物 拴连
音步	样式 语文
法定信托	钱财 委托
创议	提出
创议	语文 辩论 商讨 提出
反对者	人 反对
电力	力量 物质 使动 活动 电 器具
尤蒂卡	地方 市 美国 专
基础性	重要
白骨	部件 骨 动物 死
六一	时间 节 日 祝贺 人 少儿
活儿	事务 职位 赚 活着
活儿	人工物
可以预期	功能词
平津战役	事情 争斗 军 专
踵趾相接	到达 有序
消磁	削弱 性能 物质 吸引 金属
反锁	定住
进攻者	人 军 攻打
表带	配件 用具 告诉 时间
招人烦	能 促使 烦恼
正书	样式 文字
宽窄	宽度 物质
间歇喷泉	水域 面
收纳	纳入
白金汉宫	机构 英国 政 从事 人 元首
千分尺	用具 测量 距离 长度 宽度
大自然	天然物
训诫	谴责
训诫	劝说
囊	部件 部件 动物
囊	物形
囊	用具 放置
丝线	材料 线 拴连
槲	树
胆颤心惊	害怕
喉结	部件 部件 口 动物
小女	人 家庭 女 小辈 直系 特定 我
一年半载	时间 年
劳埃德银行	场所 英国 金融 专 留存 货币 取回 货币 借入 货币
墙	部件 皮 建筑物
鼓膜	部件 部件 动物 听
留空	留存 空间
下卷	部件 书刊
日来	时间 日 现在
两边	方向 众
两边	部件 侧 复 实体
两边	部件 侧 众 实体
抵偿	补偿
转为	成为
一肚子	多
迷宫	设施 繁
要挟	强迫
要挟	吓唬
原发病变	疾病 主
伦	亲疏 人
箜	乐器
轩然大波	事情
...何如	词语 表示 谋取 念头
附丽	依靠
无需	需求 否
生漆	材料 装饰
履带	部件 器具
速食店	场所 商业 吃 食物 简
囤积者	人 留存 商业
逶迤	形变 弯
逶迤	弯
一二报数	词语 表示 要求 告诉 数量值
跳霹雳舞	娱乐
军马	牲畜 军 利用
谍报	信息 组织 敌 军 政 侦察
断路	部件 电 线 器具
直握拍	方法 乒乓球 拿
秀拔	雅
追歼	追赶 消灭 军
荧光屏	部件 用具 看 信息 传播
一级方程式	事情 比赛 车 自动 体育
旅游业	事务 旅游 商业
稀少	少
邻	近
类癌瘤	疾病 肿胀
锥体	图像
固	牢
固	坚决
固	稳固
固	加固
作伪证	表示 信息 伪 证明
荔	文字 中国
挈眷	携带 人 家庭 直系
这一阵子	时间 日 现在
托管基金	资金 金融
辫	部件 毛 人 辫编
辫	辫编
献血	捐 部件 体液 红 人
力巴头	人 庸
大姨妈	人 家庭 旁系 女 长辈
难得的机遇	命运 人 好运
子代病毒	微生物 医 能 导致 疾病
雍和宫	设施 旅游 北京 专 消闲
灌木丛	树 众
宇宙航行	事情 飞 天体
事势	境况 事件 万物
尚未发掘	特性值 利用 否
隐射	指代
膀胱突出症	疾病
鼪	走兽
消磨	损耗
消磨	度过
保护膜	用具 保护
炝	烹调
逃逸	逃跑
险乎	几乎
鬼针草	花草
败露	露出
党校	场所 团体 政 教育 学习 教
要功	得到 成绩 有 人 另
艿	文字 中国
军列	车 军 驶 道路 材料 车 金属 线
大洲	大地
行家	人 能
一起	基数
一起	共同
骨质疏松	疾病
种花	医治 医 阻止 疾病
种花	栽植 农 花草
货款	钱财 商业 买 人工物
炊事员	人 职位 烹调
客车车厢	部件 车 驶 道路 材料 车 金属 线 运送 人 旅游
座子	部件 根 人工物
座子	部件 车 坐蹲
外骛	从事 万物 另
投降派	人 屈服
运载	运送
纂	编辑
纂	部件 毛 人
磺胺嘧啶	药物
一般过失	事情 警 有罪
职业中学	场所 教育 中等 学习 事务 职位 教 事务 职位
悲愤	情感 生气 悲哀
北山羊	走兽
狎	淫
买通关节	赠 有罪 勾引
不适宜	不宜
妇人之仁	情感 人 女 仁
用洗衣机洗	洗涤 用具 洗涤 衣物
战壕锹	用具 军 挖掘 拾起
海里	单位 距离 长度 宽度
海里	位置 水域
船运	运送 船 水域
形象化	趣
球蛋白	部件 胚 动物
狂怒	生气
安身立命	谋生
虐囚	损害 人 捉住 争斗 军
飞针走线	快
见下	读
小瘪三	人 穷 流浪
傧	人 引导
别客气	词语 表示 善待
主马达·敖外鲁月	时间 律法 伊斯兰教 时间 月 特定
土坯	材料 糙 建造
危房	建筑物 危
罗斯福	人 美国 政 元首 专
反面角色	人 艺 反面 表演
门户	身分 群体 人
门户	团体
门户	位置 口 建筑物 进入 出去
中高级	高等 中等
傀儡	人 命令 做
鳗鲡	鱼
稍逊一筹	不如 稍
疆域	地方 控制 地方 国家 政
悦	喜悦
悦	取悦
以工代赈	帮助 供 人
兵差	事务 委托
斧柄	部件 手 用具 切削 破开
一动	经常
纵容	放纵
装装样子	矫揉造作
雷鸣电闪	坏天 发声 雷 照射
环境规划署	部件 机构 联合国 政 专 国际
结束	停做
结束	终结
结束	完毕
拉昂	地方 市 法国 专
丰厚	多
丰厚	厚
不和谐	不和谐
藤球	运动器材
藤球	事情 锻炼 体育
隳	消灭
风琴管哨口	部件 乐器
虚虚实实	伪 真
安营	住下
生前	时间 死
Ｖ－8蔬菜汁	饮品
旅行团	团体 旅游
惶恐不安	害怕 极
权力	势力 动物 群体
水平	等级 实体
水平	横
达摩克利斯剑	境况 群体 人 危 发生 总是
收心	注意 事情 重要
十七	基数
双人锯	用具 折断
盛会	事情 集聚 壮观
袱	用具 包扎
絮聒	琐
浑身是胆	勇
劳资	人 众
实践	实施
实践	实现
性	举止 动物
性	类型 词语
性	特性 实体 事件
性	性别 生物
性	事情 交配
凌迟处死	处罚 杀害
调色刀	用具 调整 颜色
议程	次序 事情 集聚 商讨
迟	迟
迟	慢
伯公	人 家庭 旁系 男 长辈
脱稿	完毕
龙肝凤髓	食物 好吃
肝气	情感 生气
踢进	获胜 足球
主力	组织 主
带球	运送 足球 运动器材 足球 圆
河津	地方 县 中国 专
连续几天下挫之后	时间 减少 证券 价格 票证 资金 证券
嘴皮	能力 人 说
金华娃娃菜	食品 烹调
渣土	废物
代码	符号
代码	符号 编辑 软件
被告席	位置 坐蹲 人 警 控告
一起来	来 共同
养汉	交往 非法 人 男
专题	特别
遗传工程	知识 生物 生物学
壅塞	堵塞
驱逐	流放
驱逐	驱赶
鹅卵石	土石
沃尔玛	场所 美国 商业 专 买 卖
喜盐生物	生物
暗含	包含
手足口病	疾病
西双版纳	地方 市 中国 专
正点率	比率 事件 守时性
台南糯米大肠	食品 烹调
汽灯	用具 照射
荡平	消灭
次数	频度 事件
妒意	情感 妒忌
作揖	致敬 部件他移 部件 身 人
寸步难行	无能
举报信	信件 揭露
符节	文书 证明
自然而然	自动
逼仄	窄
说不定	功能词
土浦	地方 市 日本 专
差错率	比率 内容 出错
犯人	人 有罪
犯人	人 有罪 扣住 警
风险投资商	人 供 危 金融 资金
发大财	得到 钱财 多
河南省	地方 省 中国 专
自贬	贬低 人 己
受制于人	遭受 控制
秦艽	花草 药物
核监督	事情 监察
含含混混	含混
